Station,Earthquake_code,maxa,maxv,maxd,nStory,height,year,strutype,Magnitude,Epicentral Distance (km),Vs30 (m/sec),Peak Ground Acceleration (PGA),Peak Ground Velocity (PGV),Peak Ground Displacement (PGD),Vmax/Amax,Acceleration Root Mean Square(ARMS),Velocity Root Mean Square(VRMS),Displacement Root Mean Square(DRMS),Cumulative Absolute Velocity (CAV),Cumulative Absolute Displacement (CAD),Cumulative Absolute Energy (CAI),Significant Duration,Bracketed Duration,Peak Spectral Acceleration (SPA),Peak Spectral Velocity (SPV),Characteristic Intensity (Ic),Acceleration Spectrum Intensity (ASI),Velocity Spectrum Intensity (VSI),Predominant Period (Tp),Arias Intensity
CE35409,ci37528064,0.14861,0.0071604,0.000490949,3,14.6304,1948,C2,4.9,44.6,305,0.06919,0.004223402,0.000468884,0.061040641,0.009808787,0.000581943,6.42E-05,0.300621086,0.018519188,0.002212304,21.12,0,0.288441412,0.012246518,0.007524862,0.071668046,0.015768076,0.11,0.000924342
CE35409,ci38457511,0.12463,0.0221581,0.0243564,3,14.6304,1948,C2,7.1,182.5,305,0.0882615,0.021613665,0.022813792,0.244882136,0.017843114,0.006367115,0.007139499,1.257884129,0.476311118,0.5387912,59.22,0,0.321206675,0.076045978,0.024539116,0.083758614,0.065904384,0.4,0.005403784
CE35409,ci39493944,0.0958483,0.00404523,0.0006477,3,14.6304,1948,C2,5.8,109.3,305,0.0382278,0.003257825,0.000618343,0.085221366,0.005269034,0.000506011,0.000121074,0.200472795,0.019809945,0.004790472,24.09,0,0.136605335,0.007712297,0.003035756,0.036887357,0.012750898,0.23,0.000280062
CE36531,nc51147892,2.95797,0.463305,0.101546,1,4.014,1949,W2,6,81,270,2.82248,0.462703545,0.102574394,0.163935101,0.344143631,0.050868767,0.013182815,8.104702432,1.120725347,0.439452743,12.22,30.37,7.998502559,1.19083004,1.444448855,1.657019283,1.835055657,0.84,0.970768043
CE36531,nc51182151,0.493298,0.0134532,0.000704101,1,4.014,1949,W2,4,4.5,270,0.206407,0.008021669,0.00063839,0.038863357,0.021289857,0.00097496,8.69E-05,0.474726666,0.025205619,0.002463776,7.32,4.895,0.868598379,0.028694693,0.024459917,0.182293001,0.033080911,0.18,0.004499747
CE36531,nc71379106,0.256444,0.00979036,0.000591848,1,4.014,1949,W2,4,7.4,270,0.109771,0.005532117,0.000607627,0.050396886,0.013685451,0.000817109,7.91E-05,0.37124119,0.023628472,0.002465449,11.9,2.35,0.350410395,0.020617017,0.012707466,0.106045527,0.023344499,0.18,0.001889338
CE36531,nc71827401,0.50348,0.0183577,0.00183487,1,4.014,1949,W2,4.5,8.4,270,0.202078,0.012074604,0.00178975,0.059752197,0.023024872,0.001731269,0.000216764,0.672600563,0.055592423,0.007303049,15.46,5.95,0.809875209,0.046460514,0.028597841,0.19584952,0.055105544,0.18,0.005687483
CE36531,nc71863625,0.217024,0.0227483,0.00266911,1,4.014,1949,W2,5.3,84.7,270,0.184354,0.022090729,0.00264383,0.11982777,0.026758812,0.003553929,0.000695515,0.952588577,0.131393098,0.025990439,26.8,3.06,0.667626838,0.058558394,0.033905946,0.152301155,0.086021203,0.42,0.006879166
CE36531,nc73315876,0.334696,0.0135479,0.000700647,1,4.014,1949,W2,4.3,12.3,270,0.200652,0.009849847,0.000700641,0.049089206,0.023896669,0.001344293,0.000108974,0.743980628,0.044095123,0.004340833,12.49,7.82,0.773427973,0.04442602,0.031991653,0.21971648,0.03873551,0.37,0.006857832
CE36531,nc73671951,0.268857,0.00743087,0.000322014,1,4.014,1949,W2,3.3,0.7,270,0.142929,0.004821552,0.000278965,0.033733893,0.012095347,0.000468388,3.11E-05,0.260859612,0.011443318,0.001075783,6.615,2.405,0.528615324,0.015435528,0.010724675,0.103741645,0.016124724,0.19,0.001522653
